author_id,text
181085,"@VerizonSupport my 4G LTE has been useless the past week (same with my parents, sister, and brother in law. not on same plan either)"
201856,@VerizonSupport Living room tv
417731,"@115725 Make one with external storage &amp; removable battery and Im in.
I don't even care about the headphone jack"
414339,@VerizonSupport Yes but I️ lost money because I️ had to take the whole day off. I️ would like the install to be covered
642463,@VerizonSupport Wait so you guys have this in the atlanta/dunwoody Ga area? If so I’m willing to switch after doing some research to this
806706,@VerizonSupport hey is there any way to contact a specific store to check if somethings in stock? every call is redirected to an automated system.
513632,@VerizonSupport That worked! Thank you!
496868,"@VerizonSupport Doesn't matter, either way, speeds are trash."
405300,@VerizonSupport Your internet goes out at least twice a week
315530,@VerizonSupport The only way to truly help is to find a phone that has vanished. We traded it in at a store they were supposed to send it in. But yet to one can find the tracking number. So we were told we just had to pay....
126792,@115722 my dvr FINALLY works outside of home ... 3 months later
120007,@VerizonSupport Yep. I believe we have 75/75.
423138,"@VerizonSupport Hey guys, who can I contact about sponsoring a startup?"
564734,@115955 internet sucks absolute donkey dick. Paying $70 a month and can’t even use WiFi on my phone. Wish I️ knew if Fios was around me
554332,@VerizonSupport Fixed the problem. Thank you!
396822,@VerizonSupport yes thats fine. This is an issue that seems to be affecting the east coast. I have talked to many ppl who are having the same issue
573579,"@VerizonSupport Yes.  Rented the movie an hour and a half ago, and have only actually made it through 55 mins of actual movie time"
618406,"@VerizonSupport And for 2, I think it’s BS that instead of taking money out of MY BANK ACCOUNT LIKE THE INFO I ENTERED, it somehow comes out of my dads bank"
821612,.@115722 my internet is so slow. The speed test doesn’t even work. https://t.co/3ghlRGI5BC
757280,@560536 @ATT If you can't do @117830 think about @115722 for TV and internet. Fast as fecking 'ell!
202995,@VerizonSupport Yep.  Had the pleasure of Omedia 'fixing' our account.  We now owe you $95/month instead of $45/month with NO additional services added.
160171,@VerizonSupport Yes
716573,@VerizonSupport need help with final bill please
452153,@VerizonSupport I was 4mins in  episode 9 of @16202 and you hit me with the maintenance 😭
311533,@VerizonSupport Residential
425928,@115722 I have to send back equipment but there was no return label in the box.  Do I need to call or can you help? Thanks!
747197,@VerizonSupport Ok
496264,@VerizonSupport 10018 and 11223 most of my time. Service has been So slow for months!
727207,@VerizonSupport Both
465714,@VerizonSupport my husband is Volunteer firefighter fighting Tubbs Fire 94515 is not a zip code you want to help
483530,@VerizonSupport @115722 VZFios: Have billing issues due to deal representations made by CSR that ARE NOT shown in bill. Can U help?TY!
240673,@VerizonSupport Red for Internet and white for wireless
433481,@VerizonSupport hey there! I need your help . Check dm please. ☺️
266205,@VerizonSupport No Verizon Residential Online Chat for the Contact us campaign
209630,@VerizonSupport Imac 27” brand new a couple months ago its the router or signal as that sucks as well
237931,Spent a thousand on my self and I still ain't pay my phone bill @VerizonSupport I need an extension
703267,Still no @117310 on @115722 ? Time to change provider.
190328,@115722 I can download from their West Africa server at regular speed.  Looks like all of their US servers are screwed up.
160109,@115722 I've tried for a week to return my equipment to you. Can someone please email me a packaging slip?
469743,@VerizonSupport Three service reps have lied to me for the past 2 days
734293,"It’s very frustrating when you get told right off the bat that transferring the dsl wireless internet was going to be easy but come to find out that they were just joking. After talking to so many people in 4 different departments still don’t have Internet.

#frustrated @115725"
702743,Trying to help my elderly neighbor not get extorted by @115725 but it's not going well...$2 per minute for landline long distance - insane!
789509,Got charged for a rental that I can’t watch @VerizonSupport https://t.co/hPGhnlKyly
200590,@VerizonSupport no just when the extender is connected to the devices
472248,@115722 WHY IS FS1 THE ONLY CHANNEL NOT AVAILABLE RIGHT NOW??? DONT YOU KNOW I HAVE A BABY AND CANT GO TO A BAR FOR THE YANKEES???
577122,@VerizonSupport Never use cable so honestly not sure
425988,@VerizonSupport We just recently got Fios at our second home...this isn’t what we signed up for. NOT HAPPY
391145,@VerizonSupport Nope. Not working either.
762254,"@VerizonSupport Excuse me? I’m supposed to fix everything and then pay you? Do your job @115722 check your logs, I’ve spent hours trying to get mediocre internet to work"
195026,@VerizonSupport how important is the new update? I looked at what gets updated and I don't use those things.
172603,@800727 @115722 @VerizonSupport No coverage here
218708,@VerizonSupport  second time in a week I’m without Home Phone and dsl service. Earliest service appointment is Friday?!?
397820,Definitely do not recommend @115725 to anyone. Worst company ever.
814019,Thank you @verizonSupport for your outstanding service and resolving my promo issue.  After months of talking to people on the phones you solved the issue with lightening speed.  Thanks again!
526693,@VerizonSupport I have a serious gripe about my bill. Is there a direct # I can contact someone. This isn't fair
163472,"@VerizonSupport Everytime I click sign in, I only get please wait and it keeps refreshing itself. I've signed in before on this phone and have had np"
163475,@VerizonSupport @158221 Please get Fibre Optic to all areas of PA as FAST as you can!
304906,@VerizonSupport I did... It's not going above 100Mbps
476911,@VerizonSupport Yes. And honestly they are all fairly misleading as NONE appear to include the equip rentals etc. So by time it's over price is sig higher..
154090,Going to small courts against @VerizonSupport!
309643,@VerizonSupport Don't worrie just need a day I won't be super busy in the process of moving
363424,My service has been real shitty. Ima need @115725 to get it together!
144168,"@VerizonSupport No, after i hold the front button it was red last night tho"
400651,@VerizonSupport Ok. It seemed like the outlet didn't work. But we replugged in the battery box and now the OK light is on. I've rest the router to test it.
552504,@117310 @115722 wth!!! Fix your contract dispute or lower my bill...if not I'm switching to Comcast
629702,"Upgraded my @115722 internet to the 5G which has rendered all of my home automation ( #Googletv, #LGTV , #ChromeCast ) completely useless. I'm so mad I can't cast anything or watch anything unless it's through #FiOS now 😭😭😭"
208807,@VerizonSupport nah...just paying for starz...not used to such a high bill. 😨
537368,@VerizonSupport WHY ARE THE CHANNELS ALL SCREWED UP. I AM MISSING @172324 RIGHT NOW!!!!!!!
207703,@VerizonSupport wireless
280633,"@VerizonSupport I'm about to call @VerizonSupport in the AM &amp; switch. I like @Ask_Spectrum,but this is ridiculous"
796748,@VerizonSupport need to speak with someone in regards to my service!
193686,@VerizonSupport The FAIL light blinked
683455,@VerizonSupport I hate this!
